order,family,genus,species,holo or mono
Hymenoptera,Braconidae,Macrocentrus,Macrocentrus_cingulum,M
Hymenoptera,Megachilidae,Megachile,Megachile_rotundata,M
Hymenoptera,Torymidae,Megastigmus,Megastigmus_dorsalis,M
Hymenoptera,Torymidae,Megastigmus,Megastigmus_stigmatizans,M
Hymenoptera,Apidae,Melipona,Melipona_quadrifasciata,M
Hymenoptera,Braconidae,Microplitis,Microplitis_demolitor,M
Hymenoptera,Formicidae,Monomorium,Monomorium_pharaonis,M
Hymenoptera,Pteromalidae,Nasonia,Nasonia_giraulti,M
Hymenoptera,Pteromalidae,Nasonia,Nasonia_longicornis,M
Hymenoptera,Pteromalidae,Nasonia,Nasonia_vitripennis,M
Hymenoptera,Diprionidae,Neodiprion,Neodiprion_lecontei,M
Hymenoptera,Formicidae,Ooceraea,Ooceraea_biroi,M
Hymenoptera,Ormnyridae,Ormyrus,Ormyrus_nitidulus,M
Hymenoptera,Ormnyridae,Ormyrus,Ormyrus_pomaceus,M
Hymenoptera,Orussidae,Orussus,Orussus_abietinus,M
Hymenoptera,Formicidae,Pogomyrmex,Pogonomyrmex_barbatus,M
Hymenoptera,Vespidae,Polistes,Polistes_canadensis,M
Hymenoptera,Vespidae,Polistes,Polistes_dominula,M
Hymenoptera,Formicidae,Pseudomyrmex,Pseudomyrmex_gracilis,M
Hymenoptera,Formicidae,Solenopsis,Solenopsis_invicta,M
Hymenoptera,Cynipidae,Synergus,Synergus_umbraculus,M
Hymenoptera,Formicidae,Temnothorax,Temnothorax_curvispinosus,M
Hymenoptera,Formicidae,Trachymyrmex,Trachymyrmex_cornetzi,M
Hymenoptera,Formicidae,Trachymyrmex,Trachymyrmex_septentrionalis,M
Hymenoptera,Formicidae,Trachymyrmex,Trachymyrmex_zeteki,M
Hymenoptera,Trichogrammatidae,Trichogramma,Trichogramma_pretiosum,M
Hymenoptera,Formicidae,Vollenhovia,Vollenhovia_emeryi,M
Hymenoptera,Formicidae,Wasmannia,Wasmannia_auropunctata,M
Lepidoptera,Hesperiidae,Achalarus,Achalarus_lyciades,H
Lepidoptera,Pyralidae,Amyelois,Amyelois_transitella,H
Lepidoptera,Nymphalidae,Bicyclus,Bicyclus_anynana,H
Lepidoptera,Bombycidae,Bombyx,Bombyx_mori,H
Lepidoptera,Nymphalidae,Danaus,Danaus_plexippus,H
Lepidoptera,Pyralidae,Galleria,Galleria_mellonella,H
Lepidoptera,Nymphalidae,Heliconius,Heliconius_melpomene,H
Lepidoptera,Noctuidae,Helicoverpa,Helicoverpa_armigera,H
Lepidoptera,Noctuidae,Helicoverpa,Helicoverpa_punctigera,H
Lepidoptera,Noctuidae,Helicoverpa,Helicoverpa_zea,H
Lepidoptera,Sphingidae,Manduca,Manduca_sexta,H
Lepidoptera,Geometridae,Operophtera,Operophtera_brumata,H
Lepidoptera,Papilionidae,Papilio,Papilio_glaucus,H
Lepidoptera,Papilionidae,Papilio,Papilio_machaon,H
Lepidoptera,Papilionidae,Papilio,Papilio_polytes,H
Lepidoptera,Papilionidae,Papilio,Papilio_xuthus,H
Lepidoptera,Pieridae,Phoebis,Phoebis_sennae,H
Lepidoptera,Pyralidae,Plodia,Plodia_interpunctella,H
Lepidoptera,Noctuidae,Spodoptera,Spodoptera_frugiperda,H
Lepidoptera,Noctuidae,Spodoptera,Spodoptera_litura,H
Lepidoptera,Noctuidae,Trichoplusia,Trichoplusia_ni,H
Lepidoptera,Nymphalidae,Vanessa,Vanessa_tameamea,H
Odonata,Calopterygidae,Calopteryx,Calopteryx_splendens,H
Odonata,Libellulidae,Libellula,Ladona_fulva,H
Phasmatodea,Timematidae,Timema,Timema_cristinae,M
