,Total.Loci. TAG,Total.Bases. TAG,Total.Loci.TTAGG,Total.Bases.TTAGG,Total.Loci.TCAGG,Total.Loci.TCAGG
Phortica variegata,2029,28941,17,265,1,20
Pieris rapae,706,9168,47,860,4,60
Plodia interpunctella,1386,18348,63,1170,5,90
Pogomyrmex barbatus,591,11649,6,100,1,15
Pogonus chalceus,299,3990,29,500,0,0
Polistes canadensis,3868,73833,4,75,2,40
Polistes dominula,4957,97647,17,275,1,20
Proctacanthus coquilletti,540,7437,7,105,4,60
Pseudococcus longispinus,486,6582,60,1040,1,15
Pseudomyrmex gracilis,551,9069,171,2920,0,0
Rhagoletis zephyria,4445,65211,450,7285,14,235
Rhodnius prolixus,849,12129,194,4520,0,0
Scaptodrosophila lebanonesis,916,13656,43,685,15,240
Schizaphis graminum,1003,16347,146,2420,2,30
Sipha flava,991,16980,100,1640,1,15
Sitophilus oryzae,1793,25440,477,8020,3,45
Solenopsis invicta,656,11217,91,1620,1,15
Spodoptera frugiperda,2710,37848,342,17155,12,200
Spodoptera litura,2683,38943,89,1470,2,30
Stomoxys calcitrans,2899,40914,1265,19485,11,175
Synergus umbraculus,410,6525,36,585,1,15
Teleopsis dalmanni,1770,25689,352,6565,7,125
Temnothorax curvispinosus,466,7410,42,705,1,15
Timema cristinae,5981,112461,533,9420,9,145
Trabutina mannipara,293,4632,6,90,2,35
Trachymyrmex cornetzi,468,7572,40,630,0,0
Trachymyrmex septentrionalis,490,7923,23,410,9,235
Trachymyrmex zeteki,401,6939,11,180,0,0
Tribolium castaneum,151,2211,4,60,108,2105
Trichogramma pretiosum,1865,29844,0,0,0,0
Trichomalopsis sarcophagae,883,13434,3,45,2,30
Trichoplusia ni,2699,39603,84,4625,6,95
Vanessa tameamea,1242,16941,58,900,6,90
Vollenhovia emeryi,347,5175,53,905,52,790
Wasmannia auropunctata,409,6900,25,755,0,0
Zaprionus indianus,968,13569,21,360,4,60
Zeugodacus cucurbitae,772,10221,234,3855,4,60
Zootermopsis nevadensis,1769,26907,1440,26255,12,215
