,Total.Loci. TAG,Total.Bases. TAG,Total.Loci.TTAGG,Total.Bases.TTAGG,Total.Loci.TCAGG,Total.Loci.TCAGG,all
Papilio_xuthus,2295,31455,30,610,1,15,25852
Paracoccus_marginatus,405,6507,15,240,1,15,24396
Paykullia_maculata,1190,16374,133,2215,1,15,42982
Phoebis_sennae,777,10605,28,470,0,0,29424
Phormia_regina,2682,37587,87,1370,3,45,48054
Plodia_interpunctella,1386,18348,63,1170,5,90,37661
Pogomyrmex_barbatus,591,11649,6,100,1,15,20508
Pogonus_chalceus,299,3990,29,500,0,0,28526
Polistes_canadensis,3868,73833,4,75,2,40,18585
Polistes_dominula,4957,97647,17,275,1,20,20332
Pseudococcus_longispinus,486,6582,60,1040,1,15,41969
Pseudomyrmex_gracilis,551,9069,171,2920,0,0,21840
Rhagoletis_zephyria,4445,65211,450,7285,14,235,106894
Rhodnius_prolixus,849,12129,194,4520,0,0,1027847
Scaptodrosophila_lebanonesis,916,13656,43,685,15,240,21971
Schizaphis_graminum,1003,16347,146,2420,2,30,34713
Sipha_flava,991,16980,100,1640,1,15,34679
Sitophilus_oryzae,1793,25440,477,8020,3,45,52326
Solenopsis_invicta,656,11217,91,1620,1,15,1248374
Spodoptera_frugiperda,2710,37848,342,17155,12,200,58177
Spodoptera_litura,2683,38943,89,1470,2,30,44333
Stomoxys_calcitrans,2899,40914,1265,19485,11,175,73544
Synergus_umbraculus,410,6525,36,585,1,15,24483
Teleopsis_dalmanni,1770,25689,352,6565,7,125,1646005
Temnothorax_curvispinosus,466,7410,42,705,1,15,29866
Timema_cristinae,5981,112461,533,9420,9,145,65641
Trabutina_mannipara,293,4632,6,90,2,35,282472
Trachymyrmex_cornetzi,468,7572,40,630,0,0,32973
Trachymyrmex_septentrionalis,490,7923,23,410,9,235,27066
Trachymyrmex_zeteki,401,6939,11,180,0,0,26167
Tribolium_castaneum,151,2211,4,60,108,2105,196465
Trichogramma_pretiosum,1865,29844,0,0,0,0,14946
Trichoplusia_ni,2699,39603,84,4625,6,95,397155
Vanessa_tameamea,1242,16941,58,900,6,90,41844
Vollenhovia_emeryi,347,5175,53,905,52,790,21852
Wasmannia_auropunctata,409,6900,25,755,0,0,25909
Zaprionus_indianus,968,13569,21,360,4,60,10556
Zeugodacus_cucurbitae,772,10221,234,3855,4,60,41356
Zootermopsis_nevadensis,1769,26907,1440,26255,12,215,662676
